,_id,dn,groupid,member,uid
2169,5a58d82d8a714b91a7713759,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PIGISTE3,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",PIGISTE3
2170,5a58d82d8a714b91a771375c,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PIGISTE2,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",PIGISTE2
2171,5a58d82d8a714b91a771375f,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PIGISTE4,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",PIGISTE4
2172,5a58d82d8a714b91a7713762,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STAG2BM,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1",STAG2BM
2173,5a58d82d8a714b91a7713765,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=FMQT,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",FMQT
2174,5a58d82d8a714b91a7713768,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=CVSN,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",CVSN
2175,5a58d82d8a714b91a771376b,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=MOHN,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",MOHN
2176,5a58d82d8a714b91a771376e,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=MAGSR,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",MAGSR
2177,5a58d82d8a714b91a7713771,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=KVLE,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",KVLE
2178,5a58d82d8a714b91a7713774,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=CVIT,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",CVIT
