,MemberOf,SAMAccountName,Volume,_id
214,TRVGRP-ECHBOLDRH$A1-2d006bea3d,TRVGRP-ECHBOLDRH$A1ECH-480f512003,VOLDATAG,5a099c216be3647bbe18b6d7
215,TRVGRP-ECHBOL-e855b53158,TRVGRP-ECHBOLCOM-33319fa2b0,VOLDATAG,5a099c216be3647bbe18b6db
216,TRVGRP-ECHDSI-3bc46574ae,TRVGRP-ECHDSIPRO-9f6de63474,VOLDATAG,5a099c216be3647bbe18b6df
217,TRVGRP-ECHDSIGESdoc-9848356a3d,TRVGRP-ECHDSIGESdocRES-96d5ec7046,VOLDATAG,5a099c216be3647bbe18b6e3
218,TRVGRP-ECHDSIGES-873611f5bd,TRVGRP-ECHDSIGESdoc-9848356a3d,VOLDATAG,5a099c216be3647bbe18b6e7
219,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHBOL-8536cd033b,VOLDATAG,5a099c216be3647bbe18b6eb
220,TRVGRP-ECHCOM-3bb2c1dc6a,TRVGRP-ECHCOM136-e0c94271b3,VOLDATAG,5a099c216be3647bbe18b6ef
221,TRVGRP-ECHBFRHis-59de923242,TRVGRP-ECHBFRHisBRO-470075e779,VOLDATAG,5a099c216be3647bbe18b6f3
222,TRVGRP-ECHBFR-9bb0ffab9f,TRVGRP-ECHBFRHis-59de923242,VOLDATAG,5a099c216be3647bbe18b6f7
223,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHBFR-9bb0ffab9f,VOLDATAG,5a099c216be3647bbe18b6fb
224,TRVGRP-ECHJURBIBSOCGroCSTCor201-4f8feeebc6,TRVGRP-ECHJURBIBSOCGroCSTCor201San-c912401e1b,VOLDATAG,5a099c216be3647bbe18b6ff
