user,uid,path,trustee,appliesto
.CN=PortesR.OU=Smartphones.O=ANNECY.T=MRY.,PortesR,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=MussonP.OU=HDV.O=ANNECY.T=MRY.,MussonP,\INFO\Philippe_Musson,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=MussonP.OU=HDV.O=ANNECY.T=MRY.,MussonP,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Juridic.OU=HDV.O=ANNECY.T=MRY.,GG_Juridic,\Archives,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=ControleGestion.OU=HDV.O=ANNECY.T=MRY.,GG_ControleGestion,\Contrôle de gestion,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Finances.OU=HDV.O=ANNECY.T=MRY.,GG_Finances,\Contrôle de gestion,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\Taxe Urbanisme,,ThisFolderSubFoldersAndFiles
.CN=1-TaxeUrba.OU=HDV.O=ANNECY.T=MRY.,GG_1-TaxeUrba,\Taxe Urbanisme,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz\Bouvier\Secours\Euros,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz\Bouvier\Secours,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Favre-bonvinS.OU=BONLIEU.O=ANNECY.T=MRY.,Favre-bonvinS,\bonlieu\Administration\01 - SGB SECRETARIAT,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Favre-bonvinS.OU=BONLIEU.O=ANNECY.T=MRY.,Favre-bonvinS,\bonlieu\Administration,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Favre-bonvinS.OU=BONLIEU.O=ANNECY.T=MRY.,Favre-bonvinS,\bonlieu,"ReadAndExecute,Synchronize",ThisFolderOnly
